Namespace(batch_size=128, depth=[784, 400, 400], drop_rate=0.2, epochs=100, gammas=[0.1, 0.1], log_file='mlp_mnist_lr0.1_wd1e-4.log', lr=0.1, model='mlp_mnist', momentum=0.9, save_path='./save/mlp_mnist/mlp_mnist_lr0.1_wd1e-4/', schedule=[60, 80], use_cuda=True, weight_decay=0.0001)
==> Building model..

MLP(
  (mlp): Sequential(
    (0): Linear(in_features=784, out_features=400, bias=True)
    (1): ReLU(inplace=True)
    (2): Dropout(p=0.2, inplace=False)
    (3): Linear(in_features=400, out_features=400, bias=True)
    (4): ReLU(inplace=True)
    (5): Dropout(p=0.2, inplace=False)
  )
  (classifier): Linear(in_features=400, out_features=10, bias=True)
)
----  --------  ---------  --------  ---------  --------  ----------
  ep        lr    tr_loss    tr_acc    te_loss    te_acc    best_acc
----  --------  ---------  --------  ---------  --------  ----------
  84    0.0010     0.0027   99.9417     0.0543   98.7600     98.7800
  85    0.0010     0.0028   99.9500     0.0543   98.7600     98.7800
  86    0.0010     0.0026   99.9350     0.0544   98.7600     98.7800
  87    0.0010     0.0025   99.9383     0.0544   98.7600     98.7800
  88    0.0010     0.0025   99.9400     0.0544   98.7400     98.7800
  89    0.0010     0.0029   99.9233     0.0545   98.7400     98.7800
  90    0.0010     0.0024   99.9517     0.0544   98.7600     98.7800
  91    0.0010     0.0023   99.9500     0.0544   98.7600     98.7800
  92    0.0010     0.0026   99.9367     0.0544   98.7600     98.7800
  93    0.0010     0.0023   99.9450     0.0545   98.7600     98.7800
  94    0.0010     0.0024   99.9517     0.0545   98.7500     98.7800
  95    0.0010     0.0026   99.9383     0.0544   98.7300     98.7800
  96    0.0010     0.0025   99.9483     0.0545   98.7300     98.7800
  97    0.0010     0.0025   99.9367     0.0545   98.7400     98.7800
  98    0.0010     0.0024   99.9400     0.0544   98.7400     98.7800
  99    0.0010     0.0023   99.9533     0.0544   98.7400     98.7800
 100    0.0010     0.0024   99.9483     0.0542   98.7500     98.7800
